"","finished","run","MW","no_proj"
"173",2027-11-01,3,6.1,2
"174",2027-11-01,4,0,0
"175",2027-11-01,5,0,0
"176",2027-12-01,1,1.3,1
"177",2027-12-01,2,1.3,2
"178",2027-12-01,3,0,0
"179",2027-12-01,4,0,0
"180",2027-12-01,5,0,0
"181",2028-01-01,1,0,0
"182",2028-01-01,2,0,0
"183",2028-01-01,3,0,0
"184",2028-01-01,4,0,0
"185",2028-01-01,5,3,1
"186",2028-02-01,1,43.6,2
"187",2028-02-01,2,0,0
"188",2028-02-01,3,0,0
"189",2028-02-01,4,0,0
"190",2028-02-01,5,0,0
"191",2028-03-01,1,0,0
"192",2028-03-01,2,0.3,1
"193",2028-03-01,3,0,0
"194",2028-03-01,4,46.8,1
"195",2028-03-01,5,1,1
"196",2028-04-01,1,0,0
"197",2028-04-01,2,0,0
"198",2028-04-01,3,25,1
"199",2028-04-01,4,3.75,1
"200",2028-04-01,5,4.6,1
"201",2028-05-01,1,0,0
"202",2028-05-01,2,10.9,1
"203",2028-05-01,3,0,0
"204",2028-05-01,4,0,0
"205",2028-05-01,5,5.9,1
"206",2028-06-01,1,0.45,2
"207",2028-06-01,2,0,0
"208",2028-06-01,3,30,1
"209",2028-06-01,4,0,0
"210",2028-06-01,5,2,1
"211",2028-07-01,1,0,0
"212",2028-07-01,2,1,1
"213",2028-07-01,3,0,0
"214",2028-07-01,4,3,1
"215",2028-07-01,5,5.1,1
"216",2028-08-01,1,4.1,1
"217",2028-08-01,2,38.5,2
"218",2028-08-01,3,0,0
"219",2028-08-01,4,2,1
"220",2028-08-01,5,0,0
"221",2028-09-01,1,0,0
"222",2028-09-01,2,0,0
"223",2028-09-01,3,0,0
"224",2028-09-01,4,0,0
"225",2028-09-01,5,0,0
"226",2028-10-01,1,0,0
"227",2028-10-01,2,0,0
"228",2028-10-01,3,26.2,2
"229",2028-10-01,4,0,0
"230",2028-10-01,5,2.55,2
"231",2028-11-01,1,7,1
"232",2028-11-01,2,0,0
"233",2028-11-01,3,25.2,1
"234",2028-11-01,4,0,0
"235",2028-11-01,5,0,0
"236",2028-12-01,1,0,0
"237",2028-12-01,2,0,0
"238",2028-12-01,3,18.39,3
"239",2028-12-01,4,0.15,1
"240",2028-12-01,5,0,0
"241",2029-01-01,1,4.9,1
"242",2029-01-01,2,0,0
"243",2029-01-01,3,18.9,2
"244",2029-01-01,4,0,0
"245",2029-01-01,5,5.9,1
"246",2029-02-01,1,1.3,2
"247",2029-02-01,2,0,0
"248",2029-02-01,3,0,0
"249",2029-02-01,4,6,1
"250",2029-02-01,5,2,1
"251",2029-03-01,1,0,0
"252",2029-03-01,2,13,1
"253",2029-03-01,3,5.6,1
"254",2029-03-01,4,8.7,2
"255",2029-03-01,5,25.6,3
"256",2029-04-01,1,18,1
"257",2029-04-01,2,0,2
"258",2029-04-01,3,0,0
"259",2029-04-01,4,17.9,2
"260",2029-04-01,5,0,1
"261",2029-05-01,1,0,1
"262",2029-05-01,2,0,0
"263",2029-05-01,3,0,0
"264",2029-05-01,4,5.2,2
"265",2029-05-01,5,4.1,1
"266",2029-06-01,1,0.25,1
"267",2029-06-01,2,0,0
"268",2029-06-01,3,45.65,3
"269",2029-06-01,4,0,0
"270",2029-06-01,5,1.25,2
"271",2029-07-01,1,1,1
"272",2029-07-01,2,0,1
"273",2029-07-01,3,14,2
"274",2029-07-01,4,0,0
"275",2029-07-01,5,5.9,1
"276",2029-08-01,1,10.9,1
"277",2029-08-01,2,0,0
"278",2029-08-01,3,0,0
"279",2029-08-01,4,0,0
"280",2029-08-01,5,0,0
"281",2029-09-01,1,0.5,2
"282",2029-09-01,2,0,0
"283",2029-09-01,3,0,0
"284",2029-09-01,4,1.7,1
"285",2029-09-01,5,6.4,1
"286",2029-10-01,1,0,0
"287",2029-10-01,2,0,0
"288",2029-10-01,3,4.99,1
"289",2029-10-01,4,0,0
"290",2029-10-01,5,25,1
"291",2029-11-01,1,19.2,3
"292",2029-11-01,2,59.9,3
"293",2029-11-01,3,36.3,1
"294",2029-11-01,4,2,1
"295",2029-11-01,5,0,0
"296",2029-12-01,1,0,0
"297",2029-12-01,2,0,0
"298",2029-12-01,3,0,0
"299",2029-12-01,4,0,0
"300",2029-12-01,5,0,0
"301",2030-01-01,1,0,0
"302",2030-01-01,2,1.3,1
"303",2030-01-01,3,0,0
"304",2030-01-01,4,5,1
"305",2030-01-01,5,0,0
"306",2030-02-01,1,0,1
"307",2030-02-01,2,0,0
"308",2030-02-01,3,0,0
"309",2030-02-01,4,3,1
"310",2030-02-01,5,0,0
"311",2030-03-01,1,0,0
"312",2030-03-01,2,0.2,1
"313",2030-03-01,3,0.3,1
"314",2030-03-01,4,29.99,2
"315",2030-03-01,5,0,0
"316",2030-04-01,1,39.5,1
"317",2030-04-01,2,0,0
"318",2030-04-01,3,58.8,1
"319",2030-04-01,4,0,0
"320",2030-04-01,5,1,1
"321",2030-05-01,1,43,2
"322",2030-05-01,2,0,0
"323",2030-05-01,3,19,2
"324",2030-05-01,4,11,2
"325",2030-05-01,5,0,0
"326",2030-06-01,1,0,0
"327",2030-06-01,2,24.5,2
"328",2030-06-01,3,0,0
"329",2030-06-01,4,0,0
"330",2030-06-01,5,0,0
"331",2030-07-01,1,6.65,2
"332",2030-07-01,2,0,0
"333",2030-07-01,3,0,0
"334",2030-07-01,4,0,0
"335",2030-07-01,5,0,0
"336",2030-08-01,1,5,1
"337",2030-08-01,2,6.7,1
"338",2030-08-01,3,29.9,1
"339",2030-08-01,4,0.225,1
"340",2030-08-01,5,0,0
"341",2030-09-01,1,0,0
"342",2030-09-01,2,10.9,1
"343",2030-09-01,3,4.99,1
"344",2030-09-01,4,5,1
"345",2030-09-01,5,13.5,1
"346",2030-10-01,1,0,0
"347",2030-10-01,2,0,1
"348",2030-10-01,3,10,1
"349",2030-10-01,4,17.6,2
"350",2030-10-01,5,0,0
"351",2030-11-01,1,6.7,2
"352",2030-11-01,2,9,1
"353",2030-11-01,3,4.6,1
"354",2030-11-01,4,0,0
"355",2030-11-01,5,0,0
"356",2030-12-01,1,46.3,5
"357",2030-12-01,2,0.7,1
"358",2030-12-01,3,29.7,3
"359",2030-12-01,4,4.9,1
"360",2030-12-01,5,16.5,2
"361",2031-01-01,1,0,0
"362",2031-01-01,2,0,0
"363",2031-01-01,3,3.5,1
"364",2031-01-01,4,6.5,1
"365",2031-01-01,5,0,0
"366",2031-02-01,1,119,1
"367",2031-02-01,2,0,0
"368",2031-02-01,3,6.4,1
"369",2031-02-01,4,10.25,4
"370",2031-02-01,5,0,0
"371",2031-03-01,1,4.1,2
"372",2031-03-01,2,0,0
"373",2031-03-01,3,0,1
"374",2031-03-01,4,0,0
"375",2031-03-01,5,7,1
"376",2031-04-01,1,0,0
"377",2031-04-01,2,0.7,1
"378",2031-04-01,3,1,1
"379",2031-04-01,4,21.8,1
"380",2031-04-01,5,12.75,3
"381",2031-05-01,1,1,1
"382",2031-05-01,2,34.89,2
"383",2031-05-01,3,10.9,1
"384",2031-05-01,4,11.25,4
"385",2031-05-01,5,31.2,2
"386",2031-06-01,1,0.25,1
"387",2031-06-01,2,0.25,1
"388",2031-06-01,3,13,1
"389",2031-06-01,4,4.9,1
"390",2031-06-01,5,25.7,1
"391",2031-07-01,1,0.2,1
"392",2031-07-01,2,2,1
"393",2031-07-01,3,26.5,2
"394",2031-07-01,4,0,0
"395",2031-07-01,5,51,2
"396",2031-08-01,1,24.75,3
"397",2031-08-01,2,7.1,2
"398",2031-08-01,3,24.3,3
"399",2031-08-01,4,8,2
"400",2031-08-01,5,0,0
"401",2031-09-01,1,0.25,2
"402",2031-09-01,2,0,0
"403",2031-09-01,3,24.9,4
"404",2031-09-01,4,20,3
